date,cdi
1999-12-31,526.44653
2000-01-03,526.80619
2000-01-04,527.16556
2000-01-05,527.52501
2000-01-06,527.88487
2000-01-07,528.24499
2000-01-10,528.60534
2000-01-11,528.96630859
2000-01-12,529.32697
2000-01-13,529.68789
2000-01-14,530.04941
2000-01-17,530.41082
2000-01-18,530.77227783
2000-01-19,531.13314
2000-01-20,531.49404
2000-01-21,531.85679
2000-01-24,532.21979
2000-01-25,532.58322
2000-01-26,532.94598389
2000-01-27,533.30847168
2000-01-28,533.67124
2000-01-31,534.03405
2000-02-01,534.39764
2000-02-02,534.7612915
2000-02-03,535.12521
2000-02-04,535.48972
2000-02-07,535.85394
2000-02-08,536.21895
2000-02-09,536.58368
2000-02-10,536.94903564
2000-02-11,537.31439209
2000-02-14,537.68005
2000-02-15,538.04612
2000-02-16,538.41278076
2000-02-17,538.7791748
2000-02-18,539.14656
2000-02-21,539.51489
2000-02-22,539.88312
2000-02-23,540.25158691
2000-02-24,540.62014
2000-02-25,540.98876
2000-02-28,541.35745
2000-02-29,541.72693
2000-03-01,542.09649
2000-03-02,542.46648
2000-03-03,542.83654
2000-03-08,543.20685
2000-03-09,543.57759
2000-03-10,543.94859
2000-03-13,544.31984
2000-03-14,544.69171
2000-03-15,545.06383
2000-03-16,545.43621
2000-03-17,545.80848
2000-03-20,546.18103027
2000-03-21,546.55396
2000-03-22,546.92388
2000-03-23,547.29625
2000-03-24,547.67033
2000-03-27,548.04449
2000-03-28,548.41854
2000-03-29,548.78641
2000-03-30,549.15398
2000-03-31,549.52161
2000-04-03,549.88912
2000-04-04,550.25706
2000-04-05,550.62598
2000-04-06,550.99534
2000-04-07,551.36476
2000-04-10,551.73424
2000-04-11,552.10415
2000-04-12,552.4744873
2000-04-13,552.84565
2000-04-14,553.21779
2000-04-17,553.59019
2000-04-18,553.96283
2000-04-19,554.33477783
2000-04-20,554.70775
2000-04-24,555.08096
2000-04-25,555.45442
2000-04-26,555.82814
2000-04-27,556.2020874
2000-04-28,556.57631
2000-05-02,556.95115
2000-05-03,557.32625
2000-05-04,557.70197
2000-05-05,558.07794
2000-05-08,558.45361328
2000-05-09,558.82877
2000-05-10,559.20419
2000-05-11,559.57986
2000-05-12,559.95541
2000-05-15,560.33121
2000-05-16,560.70727
2000-05-17,561.08338
2000-05-18,561.45976
2000-05-19,561.83638
2000-05-22,562.21325
2000-05-23,562.59038
2000-05-24,562.96795
2000-05-25,563.34578
2000-05-26,563.72404
2000-05-29,564.10237
2000-05-30,564.48058
2000-05-31,564.85885
2000-06-01,565.23718
2000-06-02,565.61558
2000-06-05,565.99385
2000-06-06,566.37181
2000-06-07,566.74926
2000-06-08,567.12658
2000-06-09,567.50414
2000-06-12,567.88178
2000-06-13,568.25947
2000-06-14,568.63722
2000-06-15,569.01541
2000-06-16,569.39405
2000-06-19,569.77274
2000-06-20,570.14997
2000-06-21,570.51361
2000-06-23,570.87689209
2000-06-26,571.23945
2000-06-27,571.60166
2000-06-28,571.96158
2000-06-29,572.32250977
2000-06-30,572.68326
2000-07-03,573.04347
2000-07-04,573.40411377
2000-07-05,573.76535
2000-07-06,574.12722
2000-07-07,574.48873
2000-07-10,574.84559
2000-07-11,575.2019043
2000-07-12,575.55823
2000-07-13,575.91459
2000-07-14,576.27136
2000-07-17,576.62835
2000-07-18,576.98537
2000-07-19,577.34163
2000-07-20,577.69143
2000-07-21,578.04105
2000-07-24,578.39049
2000-07-25,578.73974
2000-07-26,579.08898926
2000-07-27,579.43828
2000-07-28,579.78757
2000-07-31,580.13668
2000-08-01,580.48577881
2000-08-02,580.83512
2000-08-03,581.18466
2000-08-04,581.53441
2000-08-07,581.88457
2000-08-08,582.23514
2000-08-09,582.58572
2000-08-10,582.93691
2000-08-11,583.28887939
2000-08-14,583.64151
2000-08-15,583.99353
2000-08-16,584.34537
2000-08-17,584.69782
2000-08-18,585.05068
2000-08-21,585.40495
2000-08-22,585.75804
2000-08-23,586.10614
2000-08-24,586.45905
2000-08-25,586.81277
2000-08-28,587.16691
2000-08-29,587.52146
2000-08-30,587.87582
2000-08-31,588.22961426
2000-09-01,588.58339
2000-09-04,588.93799
2000-09-05,589.29301
2000-09-06,589.64904
2000-09-08,590.00549316
2000-09-11,590.36297
2000-09-12,590.72066
2000-09-13,591.07876
2000-09-14,591.43729
2000-09-15,591.79583
2000-09-18,592.15459
2000-09-19,592.51336
2000-09-20,592.87235
2000-09-21,593.23176
2000-09-22,593.59119
2000-09-25,593.95063
2000-09-26,594.30989
2000-09-27,594.66875
2000-09-28,595.02803
2000-09-29,595.38855
2000-10-02,595.74949
2000-10-03,596.11044
2000-10-04,596.47201
2000-10-05,596.83381
2000-10-06,597.19522
2000-10-09,597.55684
2000-10-10,597.91848
2000-10-11,598.27993
2000-10-13,598.64201
2000-10-16,599.00451
2000-10-17,599.36723
2000-10-18,599.73017
2000-10-19,600.09333
2000-10-20,600.45691
2000-10-23,600.82051
2000-10-24,601.18413
2000-10-25,601.54796
2000-10-26,601.91222
2000-10-27,602.2767334
2000-10-30,602.64141846
2000-10-31,603.00653
2000-11-01,603.37147
2000-11-03,603.73601
2000-11-06,604.09995
2000-11-07,604.46452
2000-11-08,604.83013
2000-11-09,605.19617
2000-11-10,605.56264
2000-11-13,605.92933
2000-11-14,606.29645
2000-11-16,606.66381836
2000-11-17,607.03157
2000-11-20,607.39936
2000-11-21,607.76737
2000-11-22,608.13415
2000-11-23,608.50115
2000-11-24,608.86817
2000-11-27,609.23522949
2000-11-28,609.60266
2000-11-29,609.96972
2000-11-30,610.33659
2000-12-01,610.70388
2000-12-04,611.07118
2000-12-05,611.43871
2000-12-06,611.80625
2000-12-07,612.17382813
2000-12-08,612.54157
2000-12-11,612.90935
2000-12-12,613.27715
2000-12-13,613.64495
2000-12-14,614.01277
2000-12-15,614.38081
2000-12-18,614.74865
2000-12-19,615.11629
2000-12-20,615.47912598
2000-12-21,615.83622
2000-12-22,616.19334
2000-12-26,616.55045
2000-12-27,616.90734
2000-12-28,617.26487
2000-12-29,617.62261963
2001-01-02,617.98076
2001-01-03,618.33848
2001-01-04,618.69622803
2001-01-05,619.05434
2001-01-08,619.41247
2001-01-09,619.77081
2001-01-10,620.12808
2001-01-11,620.48513
2001-01-12,620.84196
2001-01-15,621.19879
2001-01-16,621.55603
2001-01-17,621.90685
2001-01-18,622.25615
2001-01-19,622.60565
2001-01-22,622.95491
2001-01-23,623.30373
2001-01-24,623.65317
2001-01-25,624.00303
2001-01-26,624.35179
2001-01-29,624.70009
2001-01-30,625.04838
2001-01-31,625.39599609
2001-02-01,625.74359
2001-02-02,626.09117
2001-02-05,626.43936
2001-02-06,626.78797
2001-02-07,627.13742
2001-02-08,627.48748779
2001-02-09,627.83821
2001-02-12,628.18867
2001-02-13,628.53891
2001-02-14,628.88738
2001-02-15,629.23995
2001-02-16,629.59272
2001-02-19,629.94504
2001-02-20,630.29777
2001-02-21,630.6506958
2001-02-22,631.00383
2001-02-23,631.35693
2001-02-28,631.70977783
2001-03-01,632.06222
2001-03-02,632.41483
2001-03-05,632.76763
2001-03-06,633.12042
2001-03-07,633.47318
2001-03-08,633.82614
2001-03-09,634.17886
2001-03-12,634.53177
2001-03-13,634.88513184
2001-03-14,635.23863
2001-03-15,635.59235
2001-03-16,635.94759
2001-03-19,636.30346
2001-03-20,636.66041
2001-03-21,637.01756
2001-03-22,637.38674
2001-03-23,637.75635
2001-03-26,638.12596
2001-03-27,638.49579
2001-03-28,638.86561
2001-03-29,639.23564
2001-03-30,639.6060791
2001-04-02,639.97679
2001-04-03,640.34790039
2001-04-04,640.71901
2001-04-05,641.09012
2001-04-06,641.46166
2001-04-09,641.83319092
2001-04-10,642.20561
2001-04-11,642.57802
2001-04-12,642.95064
2001-04-16,643.32392
2001-04-17,643.69742
2001-04-18,644.07268
2001-04-19,644.45721436
2001-04-20,644.84194
2001-04-23,645.22692
2001-04-24,645.61212
2001-04-25,645.99756
2001-04-26,646.38322
2001-04-27,646.76956
2001-04-30,647.15568
2001-05-02,647.54182
2001-05-03,647.92796
2001-05-04,648.31478
2001-05-07,648.70183
2001-05-08,649.08933
2001-05-09,649.47728
2001-05-10,649.86547
2001-05-11,650.25389
2001-05-14,650.64232
2001-05-15,651.03118896
2001-05-16,651.42009
2001-05-17,651.80944
2001-05-18,652.19902
2001-05-21,652.58861
2001-05-22,652.97865
2001-05-23,653.37695
2001-05-24,653.77793
2001-05-25,654.17983
